x_cm,y_cm,heading_deg
1.002865798861468534e+02,2.720695751648525018e+01,3.652508215507575073e+01
1.004689237609789103e+02,2.734384287170229655e+01,3.726595589072175585e+01
1.006471242008761493e+02,2.748157456706867308e+01,3.813514871549852359e+01
1.008233293439165834e+02,2.762210300779716121e+01,3.901149597744233688e+01
1.009948899903580894e+02,2.776325858236162958e+01,3.988179748127408430e+01
1.011676162191495365e+02,2.790986786053742463e+01,4.076710959921189215e+01
1.013366678106947205e+02,2.805763684879247322e+01,4.154668461569973203e+01
1.015037616166961669e+02,2.820781217104000760e+01,4.234846386298723786e+01
1.016138532107158170e+02,2.830957440222290700e+01,4.314850995104738018e+01
1.017223342904234755e+02,2.841194004559088881e+01,4.352878735147365319e+01
1.018318469481600630e+02,2.851688735592635027e+01,4.403219674210318146e+01
1.019384709909625144e+02,2.862071673567483998e+01,4.444620303587505106e+01
1.020453112848488360e+02,2.872631879064230631e+01,4.488589754504331353e+01
1.021519572659877753e+02,2.883341747216428530e+01,4.535680121735641279e+01
1.022564731562469404e+02,2.894009823494895173e+01,4.581777909001537807e+01
1.023632800720550335e+02,2.905092693930906478e+01,4.629956994751282906e+01
1.025199507826629031e+02,2.921615573276264755e+01,4.674626604650804040e+01
1.026742839497067052e+02,2.938174710331061235e+01,4.728456874674925103e+01
1.028257984156013123e+02,2.954782715815190741e+01,4.796717423322149898e+01
1.029755751506750983e+02,2.971624621556552270e+01,4.873880246439643571e+01
1.031227770361018656e+02,2.988633026964883754e+01,4.951107965594359683e+01
1.032681138791702722e+02,3.005851750787986632e+01,5.015598596522577424e+01
1.034112360941857816e+02,3.023237465278429781e+01,5.092040713990100187e+01
1.035538272435597804e+02,3.041011542270249279e+01,5.160347738900907899e+01
1.036940310226607238e+02,3.058938111139389449e+01,5.233856391583510259e+01
1.038079522570592417e+02,3.073914319912410065e+01,5.314228984024175162e+01
1.039200856544467939e+02,3.089108003041929962e+01,5.400109814849026435e+01
1.040330552074417199e+02,3.104913044799650024e+01,5.488687704820640789e+01
1.041412239933739414e+02,3.120520639623368453e+01,5.566516022413738796e+01
1.042467045111036299e+02,3.136214930989509853e+01,5.652515407670982484e+01
1.043485313125998744e+02,3.151875867884110960e+01,5.741131480573006485e+01
1.044521746849499522e+02,3.168357894445550116e+01,5.826313538110681378e+01
1.045507964487217123e+02,3.184584865988797731e+01,5.915737136271603447e+01
1.046468994573372697e+02,3.200843945188095319e+01,5.967026403796501199e+01
1.047416647246160579e+02,3.217169970020233905e+01,6.006324181253440742e+01
1.048358013468169219e+02,3.233663100240941191e+01,6.050453989780314146e+01
1.049285378333271694e+02,3.250185307706023963e+01,6.088587011157817841e+01
1.050193666487899264e+02,3.266628504545204947e+01,6.128342635850735576e+01
1.051096682229504040e+02,3.283248624087372036e+01,6.168373030168184101e+01
1.052015610090431466e+02,3.300452283229445527e+01,6.209875151622542688e+01
1.052904715402424927e+02,3.317363425824959933e+01,6.243484424738655036e+01
1.053929208700363347e+02,3.337235296265024687e+01,6.301846325895260037e+01
1.054935323749061524e+02,3.357302720757307668e+01,6.372615788775573265e+01
1.055905869585602375e+02,3.377306850984503939e+01,6.451104912301133254e+01
1.056877691499076519e+02,3.398122243400677434e+01,6.543541329155574715e+01
1.057794992871461375e+02,3.418558355930468196e+01,6.621749685677598052e+01
1.058682368639436362e+02,3.439115287710561120e+01,6.708593524493464599e+01
1.059536241924854636e+02,3.459694220431227762e+01,6.784440535149046525e+01
1.060376840788009076e+02,3.480752382515415633e+01,6.863384289153049167e+01
1.061070911572450228e+02,3.498716641093509594e+01,6.911687658114502142e+01
1.061739560566384171e+02,3.516429035662967806e+01,6.951973470374414887e+01
1.062394476887979238e+02,3.534166037286781403e+01,6.994820820986996068e+01
1.063028496416286259e+02,3.551722341193422494e+01,7.033894444459268414e+01
1.063653060078817987e+02,3.569366131089984151e+01,7.067465884722241753e+01
1.064267403886603063e+02,3.587066231666341309e+01,7.104310720456729200e+01
1.064877878858852114e+02,3.605089849424393833e+01,7.153355412529775492e+01
1.065470994934670870e+02,3.623036399257941298e+01,7.189000605216870099e+01
1.066159222656659580e+02,3.644287326530432836e+01,7.222009931102762437e+01
1.066835777997110597e+02,3.665548386107299450e+01,7.247636916010627317e+01
1.067512063796667405e+02,3.687214729348126951e+01,7.285352666931578369e+01
1.068169616318697308e+02,3.708754963590281051e+01,7.319505932131239945e+01
1.068805177355377936e+02,3.730029179433389430e+01,7.353821441376396706e+01
1.069429227067674333e+02,3.751376514118894079e+01,7.387118344858535579e+01
1.070042376626619216e+02,3.772825705790944539e+01,7.422244143731185773e+01
1.070644271855290270e+02,3.794433926294408366e+01,7.464728791984866518e+01
1.071234451442599465e+02,3.816324237877889658e+01,7.517546908943305084e+01
1.071797156621799587e+02,3.837962293386082280e+01,7.567035750063310218e+01
1.072336920578392778e+02,3.859511235752912484e+01,7.620509035240064577e+01
1.072856570736399817e+02,3.881132348526673326e+01,7.676618917722890956e+01
1.073365217908485505e+02,3.903239083238290164e+01,7.731881609951030043e+01
1.073845767677111098e+02,3.925146483139742060e+01,7.793685586089024753e+01
1.074321915814335284e+02,3.948003265487088953e+01,7.852823975193271622e+01
1.074757705447033231e+02,3.970121901234357153e+01,7.918001906737039519e+01
1.075125748940578490e+02,3.989836312578690070e+01,7.967062285256395171e+01
1.075476222734183409e+02,4.009448085888537605e+01,8.006511049803923186e+01
1.075812156860332607e+02,4.029020079476692473e+01,8.045617262291857230e+01
1.076145420917669213e+02,4.049181907106686396e+01,8.077219843930849663e+01
1.076462349665230676e+02,4.069096690930891214e+01,8.114307571627685434e+01
1.076762137850480343e+02,4.088901540643992405e+01,8.164176509278485128e+01
1.077044161387667884e+02,4.108655807062758214e+01,8.210827831176945324e+01
1.077310489968808866e+02,4.128381749449460614e+01,8.251320821748861079e+01
1.077602514655854549e+02,4.150549795386029217e+01,8.247780709303329161e+01
1.077899337012870689e+02,4.172957994809082294e+01,8.243107773026655138e+01
1.078198955265962979e+02,4.195518738275939796e+01,8.243910972569474893e+01
1.078544912921041430e+02,4.221616780488287901e+01,8.245859528729030785e+01
1.078838384080630135e+02,4.243728745727831608e+01,8.242111977334687367e+01
1.079132441478431161e+02,4.265882713665740766e+01,8.245713260347910989e+01
1.079428395786197257e+02,4.288196417786323167e+01,8.243239014205524029e+01
1.079722041178862497e+02,4.310304673561378053e+01,8.243594290510364431e+01
1.080113247184873870e+02,4.339936587787620681e+01,8.252245579080947380e+01
1.080487093448706588e+02,4.368589740728642568e+01,8.261042288752325646e+01
1.080857285728665431e+02,4.397561260915931314e+01,8.282621485774645009e+01
1.081209083395592501e+02,4.426272177306378097e+01,8.320241288135656532e+01
1.081541975211186610e+02,4.455035686269735606e+01,8.359418019483932483e+01
1.081853540273378371e+02,4.483649035126170901e+01,8.397713923377820322e+01
1.082145561506907256e+02,4.512207954680596345e+01,8.434620412556536451e+01
1.082431676483691518e+02,4.542151124653451433e+01,8.473740955577322609e+01
1.082631960830320708e+02,4.564660525165445648e+01,8.509323323195823718e+01
1.082815753236976235e+02,4.586935947791283041e+01,8.547329370874471977e+01
1.082985195487729726e+02,4.609253087773006996e+01,8.584303503722138373e+01
1.083140754116298439e+02,4.631582581264579801e+01,8.618681012371965267e+01
1.083282172421848344e+02,4.653826727822778508e+01,8.653776409520752111e+01
1.083414391158731149e+02,4.677151575891419100e+01,8.697346732884176390e+01
1.083529869152735898e+02,4.700707019448378077e+01,8.741330038237758515e+01
1.083623500054498265e+02,4.723114263268863766e+01,8.780116110235461235e+01
1.083708855968593667e+02,4.745841898204924547e+01,8.789725951922484626e+01
1.083792938666705368e+02,4.768229983557351659e+01,8.780105905417450174e+01
1.083878958126388454e+02,4.790808140197383835e+01,8.783528136596866887e+01
1.083975167596515661e+02,4.816659573272779227e+01,8.790201203892596027e+01
1.084056142523423603e+02,4.838885353488186780e+01,8.792493272298939644e+01
1.084139141180846195e+02,4.861849765538386947e+01,8.793526718128332220e+01
1.084228331056959291e+02,4.886656118897514745e+01,8.794643047559925719e+01
1.084309028375034814e+02,4.909265824772241160e+01,8.796536602568696139e+01
1.084410104466716120e+02,4.937985398844457308e+01,8.800334565327118241e+01
1.084530533774266559e+02,4.972149213733862183e+01,8.795891138164351730e+01
1.084626293023694217e+02,5.001108497392665697e+01,8.825328605889389166e+01
1.084706516785850141e+02,5.030162334748526121e+01,8.858340349574277184e+01
1.084770023838522377e+02,5.059204036459018283e+01,8.891116049603174076e+01
1.084817115273279882e+02,5.089107972246532086e+01,8.928444995371410187e+01
1.084843891061060503e+02,5.118883055144111438e+01,8.968509227338323342e+01
1.084851205117169144e+02,5.148185074392171146e+01,9.002887714812705156e+01
1.084843415932099333e+02,5.170420809406201101e+01,9.037253580683538701e+01
1.084821605012591021e+02,5.193063255550966772e+01,9.073126276410589242e+01
1.084785460682048495e+02,5.215387483711744920e+01,9.112388461443255494e+01
1.084720542310914766e+02,5.242370944254138720e+01,9.163249370726117604e+01
1.084642765966145532e+02,5.266327527377687545e+01,9.208647708196112092e+01
1.084553485289101502e+02,5.288572124074253367e+01,9.251029032438167121e+01
1.084443038608270058e+02,5.311493129004328750e+01,9.300712726279327569e+01
1.084317337887699182e+02,5.334596708669585041e+01,9.322136803007730066e+01
1.084193724629689655e+02,5.357512543828320872e+01,9.295397787781188015e+01
1.084080631574697264e+02,5.380058305134802765e+01,9.278929962602684611e+01
1.083963194807886907e+02,5.402902816417690701e+01,9.309632707083591185e+01
1.083848134596682797e+02,5.425551670509263857e+01,9.272012784359344550e+01
1.083746543909355040e+02,5.448293680531205752e+01,9.239538350504346909e+01
1.083661632249337430e+02,5.470903223039677243e+01,9.190615811149903891e+01
1.083594737677311883e+02,5.493600822286894214e+01,9.147011747053035435e+01
1.083541033031563074e+02,5.516629822619293577e+01,9.120172400637039800e+01
1.083492603803368866e+02,5.539112604650382821e+01,9.126626356881448032e+01
1.083441108615869126e+02,5.562112967787042095e+01,9.129888208274076078e+01
1.083389189472006677e+02,5.584902085113621695e+01,9.131134039034137118e+01
1.083338787421422325e+02,5.607492292823679492e+01,9.124494042818673734e+01
1.083289720920412122e+02,5.629998732684289564e+01,9.125288523868390200e+01
1.083239513235371447e+02,5.652742710460072573e+01,9.127633048146137185e+01
1.083189415987877453e+02,5.675196674950096565e+01,9.127990827634522475e+01
1.083123653896470415e+02,5.704365364467063415e+01,9.130317114502618381e+01
1.083056705332515008e+02,5.733729588978362557e+01,9.130899095879802019e+01
1.082988940736105690e+02,5.762836414652034023e+01,9.135837246874400819e+01
1.082916801581917241e+02,5.792174891446186535e+01,9.145870383309730300e+01
1.082843851727607216e+02,5.821220169983546100e+01,9.141876227715619052e+01
1.082771084965799417e+02,5.850230499588483468e+01,9.145494123273618925e+01
1.082695704956584422e+02,5.879826614250940509e+01,9.146302479078063641e+01
1.082621168264043092e+02,5.909562364897996645e+01,9.140876670602033016e+01
1.082551056213818725e+02,5.938411751079570422e+01,9.137557952144332774e+01
1.082481451653030149e+02,5.967498305271927705e+01,9.136609042580970197e+01
1.082413916233210784e+02,5.996495300724588873e+01,9.130232057710237825e+01
1.082346819402005167e+02,6.025894038614573134e+01,9.131255219165809933e+01
1.082279680076574238e+02,6.055156472278789437e+01,9.131615957710988596e+01
1.082209037729534202e+02,6.085242552609495448e+01,9.137396471010572441e+01
1.082137804273305051e+02,6.114878588906440626e+01,9.137983856536813221e+01
1.082065729239857745e+02,6.144664874332963933e+01,9.139243697728522875e+01
1.081993834520118298e+02,6.173553831648067103e+01,9.145876590329714872e+01
1.081920145237713058e+02,6.202498061665079376e+01,9.145799714665420765e+01
1.081846311921331107e+02,6.231535872744562710e+01,9.145505032964655356e+01
1.081771970684546602e+02,6.260636300597264636e+01,9.147171961094208825e+01
1.081696898439562204e+02,6.289929684365790052e+01,9.146435737301595736e+01
1.081622654250774644e+02,6.318830752760835168e+01,9.147874717290468993e+01
1.081547161218521751e+02,6.347805835793052154e+01,9.150619942587205458e+01
1.081470220832984950e+02,6.376782098447886682e+01,9.153582418381162711e+01
1.081391466546620990e+02,6.406141722057182619e+01,9.153724413317510766e+01
1.081310192601240630e+02,6.435770716597595253e+01,9.160527670566449387e+01
1.081228047842188005e+02,6.464698403649184399e+01,9.164785828513453225e+01
1.081137549485724918e+02,6.494063670734144011e+01,9.188252558137425297e+01
1.081033492565248508e+02,6.523078621414585143e+01,9.222533477745362518e+01
1.080909955280284152e+02,6.552285652255426385e+01,9.261866908763238371e+01
1.080768549903365425e+02,6.581236389455850144e+01,9.297393297341831442e+01
1.080606368541124738e+02,6.610605167473488564e+01,9.334766416523881105e+01
1.080466161537409278e+02,6.633359110988861573e+01,9.370441062224873008e+01
1.080313637536773825e+02,6.655699769590280823e+01,9.410685571626491708e+01
1.080143162416358678e+02,6.678239152508879783e+01,9.454373018498368708e+01
1.079959422958506821e+02,6.700524565109940056e+01,9.488282892011709180e+01
1.079755300531547135e+02,6.723428536070086636e+01,9.530277311138816287e+01
1.079533078404688240e+02,6.746498465651460208e+01,9.570135950116642221e+01
1.079298158616151255e+02,6.769148377604093980e+01,9.614147428518242577e+01
1.079049775978392063e+02,6.791498609814166798e+01,9.654127558230645434e+01
1.078790142439984123e+02,6.813676721239781386e+01,9.681288429972475740e+01
1.078517370154277444e+02,6.836577949492983919e+01,9.677190384672886125e+01
1.078268218989803131e+02,6.859060540062952782e+01,9.587548100441998145e+01
1.078055664692843720e+02,6.881543620680720608e+01,9.492586334252007418e+01
1.077878815093929035e+02,6.903801489346641063e+01,9.415990607600755880e+01
1.077733129407325947e+02,6.926095315174097777e+01,9.331779073340840114e+01
1.077618592670270203e+02,6.948696188818739472e+01,9.248451791202313643e+01
1.077539763188593298e+02,6.971176403007591205e+01,9.153212238499232001e+01
1.077510106373159715e+02,6.986594544743640256e+01,9.067177594795651885e+01
1.077496802402678640e+02,7.001504391752642675e+01,9.035069078788288266e+01
